year_end,season,reg_acc,play_acc,mix_acc,winner
2015,2015-16,0.6,0.8,0.8,PLAYOFFS
2016,2016-17,0.8,0.8,0.8,EMPATE
2017,2017-18,0.8,0.8,0.8,EMPATE
2018,2018-19,0.6,0.6,0.6,EMPATE
2019,2019-20,0.6,0.6,0.6,EMPATE
2020,2020-21,0.6,0.8,0.8,PLAYOFFS
2021,2021-22,0.4,0.8,0.8,PLAYOFFS
2022,2022-23,0.4,0.6,0.6,PLAYOFFS
2023,2023-24,0.6,0.8,0.8,PLAYOFFS
