factor,valor
Modelo mixto (Spurs%),61.8%
Modelo playoffs (Knicks%),64.7%
Monte Carlo (Knicks%),64.7%
Factor fatiga (juegos extra Spurs),+4 partidos
Escenario más probable,KNICKS en 6
